           Date         Open         High          Low        Close    Adj Close     Volume        Price
0    2010-07-16     0.049510     0.049510     0.049510     0.049510     0.049510          0     0.049510
1    2010-07-17     0.049510     0.085850     0.059410     0.085840     0.085840          5     0.072630
2    2010-07-18     0.085840     0.093070     0.077230     0.080800     0.080800         49     0.085150
3    2010-07-19     0.080800     0.081810     0.074260     0.074740     0.074740         20     0.078035
4    2010-07-20     0.074740     0.079210     0.066340     0.079210     0.079210         42     0.072775
...         ...          ...          ...          ...          ...          ...        ...          ...
3196 2019-04-16  5212.810059  5270.759766  5190.810059  5236.259766  5236.259766  194699629  5230.784913
3197 2019-04-17  5236.259766  5317.779785  5232.990234  5289.750000  5289.750000  187312150  5275.385009
3198 2019-04-18  5289.750000  5353.009766  5212.180176  5295.529785  5295.529785  158699049  5282.594971
3199 2019-04-19  5295.529785  5366.600098  5274.450195  5326.180176  5326.180176  123577001  5320.525147
3200 2019-04-20  5326.180176  5348.589844  5232.770020  5305.740234  5305.740234  134681237  5290.679932

[3201 rows x 8 columns]
